Sport,Discipline,2028
Aquatics,Artistic swimming,2
Aquatics,Diving,8
Aquatics,Marathon swimming,2
Aquatics,Swimming,35
Aquatics,Water polo,2
Archery,Archery,5
Athletics,Athletics,48
Badminton,Badminton,5
Baseball and softball,Baseball,1
Baseball and softball,Softball,1
Basketball,Basketball,2
Basketball,3x3,2
Canoeing,Slalom,6
Canoeing,Sprint,10
Cricket,Cricket,2
Cycling,BMX freestyle,2
Cycling,BMX racing,2
Cycling,Mountain bike,2
Cycling,Road,4
Cycling,Track,12
Equestrian,Dressage,2
Equestrian,Eventing,2
Equestrian,Jumping,2
Fencing,Fencing,12
Field hockey,Field hockey,2
Flag football,Flag football,2
Football,Football,2
Golf,Golf,2
Gymnastics,Artistic,14
Gymnastics,Rhythmic,2
Gymnastics,Trampoline,2
Handball,Field,2
Judo,Judo,15
Lacrosse,Field,2
Modern pentathlon,Modern pentathlon,2
Rowing,Rowing,12
Rowing,Coastal,3
Rugby,Union,2
Sailing,Sailing,10
Shooting,Shooting,15
Skateboarding,Skateboarding,4
Sport climbing,Sport climbing,4
Squash,Squash,2
Surfing,Surfing,2
Table tennis,Table tennis,5
Taekwondo,Taekwondo,8
Tennis,Tennis,5
Triathlon,Triathlon,3
Volleyball,indoor,2
Volleyball,Beach,2
Weightlifting,Weightlifting,10
Wrestling,Freestyle,12
Wrestling,Greco-Roman,6
